Thu Apr 26 15:47:11 2018	Sat=25866	Over=11	Time=12	Bird_in=103	Bird_out=245	temp=82.2'C
Thu Apr 26 17:00:52 2018	Sat=0	Over=0	Time=19	Bird_in=0	Bird_out=0	temp=60.1'C
Thu Apr 26 17:05:52 2018	Sat=11818	Over=0	Time=10	Bird_in=174	Bird_out=345	temp=76.3'C
Thu Apr 26 17:10:52 2018	Sat=27051	Over=0	Time=10	Bird_in=174	Bird_out=345	temp=80.1'C
Thu Apr 26 17:21:23 2018	Sat=0	Over=0	Time=19	Bird_in=0	Bird_out=0	temp=66.1'C
Thu Apr 26 17:26:23 2018	Sat=15022	Over=0	Time=10	Bird_in=87	Bird_out=181	temp=79.5'C
Thu Apr 26 17:31:23 2018	Sat=27047	Over=0	Time=10	Bird_in=87	Bird_out=181	temp=80.6'C
Thu Apr 26 17:36:23 2018	Sat=27048	Over=0	Time=11	Bird_in=87	Bird_out=181	temp=81.7'C
Thu Apr 26 17:41:23 2018	Sat=27049	Over=0	Time=11	Bird_in=87	Bird_out=181	temp=81.7'C
Thu Apr 26 17:46:23 2018	Sat=27044	Over=0	Time=11	Bird_in=87	Bird_out=181	temp=82.7'C
Thu Apr 26 17:51:23 2018	Sat=27049	Over=0	Time=11	Bird_in=87	Bird_out=181	temp=81.7'C
Thu Apr 26 17:56:23 2018	Sat=27052	Over=0	Time=11	Bird_in=87	Bird_out=181	temp=82.2'C
Thu Apr 26 17:58:44 2018	Sat=0	Over=0	Time=10	Bird_in=0	Bird_out=0	temp=77.4'C
Thu Apr 26 18:03:44 2018	Sat=0	Over=0	Time=10	Bird_in=72	Bird_out=135	temp=81.7'C
Thu Apr 26 18:08:44 2018	Sat=0	Over=0	Time=14	Bird_in=195	Bird_out=311	temp=80.6'C
Thu Apr 26 18:13:44 2018	Sat=2	Over=0	Time=11	Bird_in=385	Bird_out=582	temp=81.1'C
Thu Apr 26 18:18:44 2018	Sat=9	Over=0	Time=11	Bird_in=961	Bird_out=1101	temp=80.6'C
Thu Apr 26 18:23:44 2018	Sat=0	Over=0	Time=12	Bird_in=1443	Bird_out=1727	temp=80.6'C
Thu Apr 26 18:28:44 2018	Sat=0	Over=0	Time=10	Bird_in=1902	Bird_out=2430	temp=80.1'C
Thu Apr 26 18:33:44 2018	Sat=3	Over=0	Time=11	Bird_in=2204	Bird_out=2928	temp=80.6'C
Thu Apr 26 18:38:44 2018	Sat=0	Over=0	Time=12	Bird_in=2321	Bird_out=3117	temp=80.1'C
Thu Apr 26 18:43:44 2018	Sat=1	Over=0	Time=12	Bird_in=2385	Bird_out=3196	temp=80.6'C
Thu Apr 26 18:48:44 2018	Sat=0	Over=0	Time=11	Bird_in=2449	Bird_out=3232	temp=80.6'C
Thu Apr 26 18:53:44 2018	Sat=0	Over=0	Time=13	Bird_in=2810	Bird_out=3250	temp=80.6'C
Thu Apr 26 18:58:44 2018	Sat=1	Over=0	Time=13	Bird_in=3237	Bird_out=3261	temp=82.7'C
Thu Apr 26 19:03:44 2018	Sat=0	Over=0	Time=12	Bird_in=3579	Bird_out=3265	temp=81.7'C
Thu Apr 26 19:08:44 2018	Sat=0	Over=0	Time=11	Bird_in=3893	Bird_out=3270	temp=80.6'C
Thu Apr 26 19:13:44 2018	Sat=0	Over=0	Time=11	Bird_in=4070	Bird_out=3275	temp=81.1'C
Thu Apr 26 19:18:44 2018	Sat=0	Over=0	Time=13	Bird_in=4111	Bird_out=3276	temp=80.1'C
Thu Apr 26 19:23:44 2018	Sat=0	Over=0	Time=11	Bird_in=4135	Bird_out=3277	temp=80.6'C
Thu Apr 26 19:28:44 2018	Sat=0	Over=0	Time=11	Bird_in=4150	Bird_out=3277	temp=80.6'C
Thu Apr 26 19:33:44 2018	Sat=0	Over=0	Time=10	Bird_in=4161	Bird_out=3278	temp=80.6'C
Thu Apr 26 19:38:44 2018	Sat=0	Over=0	Time=12	Bird_in=4168	Bird_out=3278	temp=80.6'C
Thu Apr 26 19:43:44 2018	Sat=0	Over=0	Time=9	Bird_in=4170	Bird_out=3279	temp=80.1'C
Thu Apr 26 19:48:44 2018	Sat=0	Over=0	Time=9	Bird_in=4170	Bird_out=3281	temp=81.1'C
Thu Apr 26 19:53:44 2018	Sat=1	Over=0	Time=11	Bird_in=4172	Bird_out=3282	temp=80.6'C
Thu Apr 26 19:58:44 2018	Sat=0	Over=0	Time=10	Bird_in=4176	Bird_out=3282	temp=81.1'C
Thu Apr 26 20:03:44 2018	Sat=0	Over=0	Time=12	Bird_in=4177	Bird_out=3284	temp=80.6'C
Thu Apr 26 20:08:44 2018	Sat=0	Over=0	Time=11	Bird_in=4177	Bird_out=3284	temp=80.6'C
Thu Apr 26 20:13:44 2018	Sat=0	Over=0	Time=9	Bird_in=4177	Bird_out=3284	temp=81.1'C
Thu Apr 26 20:18:44 2018	Sat=0	Over=0	Time=9	Bird_in=4178	Bird_out=3284	temp=80.6'C
Thu Apr 26 20:23:44 2018	Sat=4	Over=0	Time=9	Bird_in=4178	Bird_out=3285	temp=80.6'C
Thu Apr 26 20:28:44 2018	Sat=0	Over=0	Time=12	Bird_in=4178	Bird_out=3286	temp=80.6'C
Thu Apr 26 20:33:44 2018	Sat=0	Over=0	Time=9	Bird_in=4178	Bird_out=3287	temp=80.6'C
Thu Apr 26 20:38:44 2018	Sat=0	Over=0	Time=9	Bird_in=4179	Bird_out=3288	temp=80.6'C
Thu Apr 26 20:43:44 2018	Sat=1	Over=0	Time=9	Bird_in=4179	Bird_out=3288	temp=80.6'C
Thu Apr 26 20:48:44 2018	Sat=0	Over=0	Time=9	Bird_in=4179	Bird_out=3288	temp=80.1'C
Thu Apr 26 20:53:44 2018	Sat=0	Over=0	Time=11	Bird_in=4179	Bird_out=3288	temp=80.6'C
Thu Apr 26 20:58:44 2018	Sat=0	Over=0	Time=10	Bird_in=4179	Bird_out=3288	temp=80.6'C
